product_id,warehouse_id,quantity
515291,astana,8
515291,almaty,5
515291,shymkent,2
45357,astana,0
45357,almaty,0
45357,shymkent,0
25397,astana,0
25397,almaty,0
25397,shymkent,0
58379,astana,0
58379,almaty,0
58379,shymkent,5003
58380,astana,207
58380,almaty,0
58380,shymkent,0
58412,astana,117
58412,almaty,0
58412,shymkent,0
58368,astana,67
58368,almaty,0
58368,shymkent,82
58378,astana,0
58378,almaty,0
58378,shymkent,3
515279,astana,5
515279,almaty,19
515279,shymkent,3
515280,astana,2
515280,almaty,25
515280,shymkent,2
900000001,astana,
900000001,almaty,0
900000001,shymkent,
900000160,astana,12
900000160,almaty,6
900000160,shymkent,0
900000161,astana,0
900000161,almaty,0
900000161,shymkent,0
